14,climbed
14,beast
14,rumors
14,facts
14,enter
14,ceiling
14,flashed
14,term
14,headed
14,realization
14,idahos
14,rich
14,year
14,unknown
14,pace
14,finding
14,glare
14,communications
14,attitude
14,bodys
14,banner
14,tribes
14,beauty
14,minutes
14,softly
14,cast
14,delicate
14,general
14,cloud
14,remove
14,error
14,doorway
14,enemies
14,motioned
14,revealed
14,expect
14,signaled
14,controlled
14,press
14,formed
14,forget
14,concubine
14,speaks
14,zensunni
14,length
14,plans
14,harm
14,shaddam
14,denied
14,necessities
14,wellington
14,wife
14,destroyed
14,sealed
14,rasped
14,difference
14,paces
14,questioning
14,reasons
14,sadness
14,assassins
14,tharthar
14,minor
14,thinks
13,frown
13,seeking
13,fate
13,ya
13,hurt
13,drawn
13,purple
13,needle
13,observe
13,careful
13,agony
13,bringing
13,shared
13,matters
13,louder
13,setting
13,partly
13,played
13,birth
13,ease
13,prescience
13,waist
13,chairs
13,reflection
13,fief
13,load
13,experienced
13,concealed
13,worn
13,surprise
13,fold
13,emotion
13,loyalty
13,suk
13,dignity
13,problems
13,guests
13,atomics
13,logic
13,hour
13,concern
13,buy
13,match
13,teeth
13,code
13,casual
13,bank
13,paused
13,focus
13,gain
13,stilltent
13,brushed
13,withdraw
13,lifting
13,demanding
13,cool
13,revealing
13,dining
13,bond
13,staff
13,shielded
13,tight
13,fully
13,tomorrow
13,heir
13,commanded
13,emotions
13,butlerian
13,wishes
13,manual
13,rite
13,spreading
13,glaring
13,plugs
13,crossing
13,secure
13,bush
13,wear
13,pale
12,speaker
12,lights
12,rhythm
12,schools
12,pointing
12,worry
12,signet
12,shadout
12,calmness
12,size
12,snarled
12,shell
12,familiar
12,explain
12,approached
12,permission
12,sea
12,diet
12,memories
12,sayings
12,expected
12,stumbled
12,alert
12,correct
12,data
12,antidote
12,replaced
12,rank
12,silently
12,possibilities
12,microphone
12,breeding
12,sees
12,destruction
12,swiftly
12,glistening
12,walking
12,troopers
12,animals
12,spite
12,main
12,total
12,reaches
12,seated
12,beloved
12,culture
12,traces
12,freedom
12,separated
12,chakobsa
12,passing
12,exchange
12,company
12,talking
12,bested
12,excitement
12,north
12,legends
12,chill
12,peered
12,mound
12,progress
12,worried
12,slavemaster
12,intensity
12,race
12,flow
12,foam
12,cousin
12,brown
12,ability
12,hint
12,blackness
12,projectile
12,winds
12,countless
12,blast
12,pull
12,offer
12,protect
12,profits
12,frequently
12,mount
12,kanly
12,trapped
12,whisper
12,flagon
12,iv
12,tunic
12,nod
12,brave
12,falling
12,mustnt
11,litter
11,beautiful
11,wise
11,pulling
11,panel
11,flicked
11,drive
11,chief
11,support
11,differences
11,raid
11,post
11,decisions
11,fail
11,mustache
11,oval
11,robed
11,extended
11,examined
11,seed
11,stories
11,exist
11,dipped
11,sheathed
11,flight
11,flowed
11,tool
11,rim
11,process
11,dreams
11,loose
11,limited
11,minute
11,mentats
11,growth
11,reveal
11,served
11,probing
11,talked
11,holy
11,aide
11,shade
11,river
11,silver
11,revenge
11,ruling
11,puzzled
11,bg
11,balance
11,searched
11,twisting
11,helping
11,knees
11,conscious
11,mutual
11,pad
11,science
11,fallen
11,generations
11,depths
11,sharply
11,double
11,village
11,semuta
11,courier
11,patrols
11,transport
11,response
11,older
11,positions
11,planned
11,appears
11,detected
11,precise
11,riding
11,kinet
11,curving
11,lietkynes
11,lack
11,circled
11,bargain
11,breeze
